12387,county|BR.6288,facility|6288,Akraul HSC,facility_type|HSC
8455,county|BR.6382,facility|6382,Akri HSC,facility_type|HSC
12393,county|BR.6288,facility|6288,Aksuda HSC,facility_type|HSC
8098,county|BR.5904,facility|5904,Alahan Parasi HSC,facility_type|HSC
7563,county|BR.6117,facility|6117,Alakhbani HSC,facility_type|HSC
9963,county|BR.6033,facility|6033,Alampur Bhibhutipur HSC,facility_type|HSC
14731,county|BR.5930,facility|5930,Alampur HSC,facility_type|HSC
12394,county|BR.6288,facility|6288,Alangia HSC,facility_type|HSC
14847,county|BR.6405,facility|6405,Alani HSC,facility_type|HSC
12184,county|BR.6280,facility|6280,Alapatti HSC,facility_type|HSC
10880,county|BR.5817,facility|5817,Alapur HSC,facility_type|HSC
12138,county|BR.6290,facility|6290,Alarsem HSC,facility_type|HSC
12373,county|BR.6288,facility|6288,Alat HSC,facility_type|HSC
12801,county|BR.5915,facility|5915,Alavalpur HSC,facility_type|HSC
7354,county|BR.5923,facility|5923,Alawa (New) HSC,facility_type|HSC
12294,county|BR.6285,facility|6285,Aldal HSC,facility_type|HSC
15945,county|BR.6091,facility|6091,Aldikhora APHC,facility_type|APHC
17842,county|BR.17845,facility|17845,Alempur HSC,facility_type|HSC
17886,county|BR.6176,facility|6176,Alesra HSC,facility_type|HSC
12273,county|BR.6185,facility|6185,Alhi Baraua HSC,facility_type|HSC
12466,county|BR.6283,facility|6283,Ali Mohan HSC,facility_type|HSC
12374,county|BR.6288,facility|6288,Alia HSC,facility_type|HSC
12338,county|BR.6158,facility|6158,Alia Pandaul HSC,facility_type|HSC
12457,county|BR.6283,facility|6283,Alikapur HSC,facility_type|HSC
12262,county|BR.6172,facility|6172,Alin Belha HSC,facility_type|HSC
12248,county|BR.6172,facility|6172,Alin Belha Khutauna HSC,facility_type|HSC
10898,county|BR.5834,facility|5834,Alinagar HSC,facility_type|HSC
15650,county|BR.6317,facility|6317,Alinagar Pali APHC,facility_type|APHC
11508,county|BR.5877,facility|5877,Alipur Ara HSC,facility_type|HSC
7402,county|BR.5920,facility|5920,Alipur Bind HSC,facility_type|HSC
6851,county|BR.6027,facility|6027,Alipur Hatta HSC,facility_type|HSC
12850,county|BR.5929,facility|5929,Alipur HSC,facility_type|HSC
7345,county|BR.5923,facility|5923,Alipur Parwalpur HSC,facility_type|HSC
9228,county|BR.5999,facility|5999,Alipur Tekari HSC,facility_type|HSC
12580,county|BR.5935,facility|5935,Allahbakshpur HSC,facility_type|HSC
10389,county|BR.6105,facility|6105,Allapur HSC,facility_type|HSC
12730,county|BR.5908,facility|5908,Alluddinchak HSC,facility_type|HSC
12463,county|BR.6283,facility|6283,Almal HSC,facility_type|HSC
12261,county|BR.6172,facility|6172,Almania HSC,facility_type|HSC
13293,county|BR.6244,facility|6244,Aloni HSC,facility_type|HSC
12259,county|BR.6172,facility|6172,Alrepatti HSC,facility_type|HSC
15946,county|BR.6091,facility|6091,Alta APHC,facility_type|APHC
11372,county|BR.6091,facility|6091,Alta HSC,facility_type|HSC
11364,county|BR.6091,facility|6091,Alta Kochadhaman HSC,facility_type|HSC
11336,county|BR.6050,facility|6050,Altabari HSC,facility_type|HSC
17846,county|BR.17845,facility|17845,Aluaar HSC,facility_type|HSC
12445,county|BR.6283,facility|6283,Aluatol HSC,facility_type|HSC
12351,county|BR.6158,facility|6158,Alyanpur HSC,facility_type|HSC
13509,county|BR.6223,facility|6223,Amaari APHC,facility_type|APHC
7417,county|BR.6323,facility|6323,Amain HSC,facility_type|HSC
14199,county|BR.6374,facility|6374,Amaitha HSC,facility_type|HSC
17999,county|BR.6083,facility|6083,Amaithi HSC,facility_type|HSC
17830,county|BR.6163,facility|6163,Amaithi Manjha HSC,facility_type|HSC
15944,county|BR.6100,facility|6100,Amalbari APHC,facility_type|APHC
12352,county|BR.6158,facility|6158,Amalpur HSC,facility_type|HSC
11279,county|BR.5839,facility|5839,Amani HSC,facility_type|HSC
15055,county|BR.15055,,Amanpur HSC,facility_type|HSC
11125,county|BR.5786,facility|5786,Amaon HSC,facility_type|HSC
8532,county|BR.6188,facility|6188,Amar Sihpur HSC,facility_type|HSC
13920,county|BR.6365,facility|6365,Amarakh HSC,facility_type|HSC
15995,county|BR.6324,facility|6324,Amari APHC,facility_type|APHC
11905,county|BR.6339,facility|6339,Amari Chaurahi HSC,facility_type|HSC
13651,county|BR.5813,facility|5813,Amari Dharhara HSC,facility_type|HSC
8095,county|BR.5904,facility|5904,Amari Goh HSC,facility_type|HSC
14426,county|BR.6052,facility|6052,Amari HSC,facility_type|HSC
